name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.search_dm_messages\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""search_dm_messages"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_search_dm_messages_bf724e1492591b482dc873b94e2a8c1c
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.is_admin\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""is_admin"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_is_admin_fc9bbdafb8157c8adb0031ef4516c94f
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.log_user_ban\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""log_user_ban"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_log_user_ban_923f6acc2900ee80f9000245ab9f36e2
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.handle_new_user\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""handle_new_user"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_handle_new_user_70a1c997e3d48b2a28ce719299b573ef
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.is_adult\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""is_adult"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_is_adult_0a2ef37c7f3df930ec5aca27342c2ac8
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.verify_user_age\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""verify_user_age"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_verify_user_age_b6beef5f5754f6840633ba7df5d7dc13
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.log_age_verification\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""log_age_verification"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_log_age_verification_94ec0d71194f7d8530851b46b17b7fb8
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.search_room_messages\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""search_room_messages"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_search_room_messages_df013ea27abfb985ee7ae91551d91c02
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.match_and_update_atomic\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""match_and_update_atomic"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_match_and_update_atomic_64801940668c923abe79bd55152af181
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.handle_user_delete\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""handle_user_delete"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_handle_user_delete_090e0d3d51601c595ea2086550cdc497
